F1,Company Name,Location,StateOrPreFinalKw,Country,Date,Month,Date,Year,DayOfTheWeek,Detail,Status Rocket,CostInMillion,Status Mission
0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Florida,USA,"Fri Aug 07, 2020 05:12 UTC",Aug,7,2020,Fri,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,Active,50,Success
1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Jiuquan Satellite Launch Center,China,"Thu Aug 06, 2020 04:01 UTC",Aug,6,2020,Thu,Long March 2D | Gaofen-9 04 & Q-SAT,Active,29.75,Success
2,SpaceX,"Pad A, Boca Chica, Texas, USA",Texas,USA,"Tue Aug 04, 2020 23:57 UTC",Aug,4,2020,Tue,Starship Prototype | 150 Meter Hop,Active,,Success
3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Baikonur Cosmodrome,Kazakhstan,"Thu Jul 30, 2020 21:25 UTC",Jul,30,2020,Thu,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,Active,65,Success
4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Florida,USA,"Thu Jul 30, 2020 11:50 UTC",Jul,30,2020,Thu,Atlas V 541 | Perseverance,Active,145,Success
5,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Taiyuan Satellite Launch Center,China,"Sat Jul 25, 2020 03:13 UTC",Jul,25,2020,Sat,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",Active,64.68,Success
6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Baikonur Cosmodrome,Kazakhstan,"Thu Jul 23, 2020 14:26 UTC",Jul,23,2020,Thu,Soyuz 2.1a | Progress MS-15,Active,48.5,Success
7,CASC,"LC-101, Wenchang Satellite Launch Center, China",Wenchang Satellite Launch Center,China,"Thu Jul 23, 2020 04:41 UTC",Jul,23,2020,Thu,Long March 5 | Tianwen-1,Active,,Success
8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Florida,USA,"Mon Jul 20, 2020 21:30 UTC",Jul,20,2020,Mon,Falcon 9 Block 5 | ANASIS-II,Active,50,Success
9,JAXA,"LA-Y1, Tanegashima Space Center, Japan",Tanegashima Space Center,Japan,"Sun Jul 19, 2020 21:58 UTC",Jul,19,2020,Sun,H-IIA 202 | Hope Mars Mission,Active,90,Success
10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",Virginia,USA,"Wed Jul 15, 2020 13:46 UTC",Jul,15,2020,Wed,Minotaur IV | NROL-129,Active,46,Success
11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Jiuquan Satellite Launch Center,China,"Fri Jul 10, 2020 04:17 UTC",Jul,10,2020,Fri,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",Active,28.3,Failure
12,CASC,"LC-3, Xichang Satellite Launch Center, China",Xichang Satellite Launch Center,China,"Thu Jul 09, 2020 12:11 UTC",Jul,9,2020,Thu,Long March 3B/E | Apstar-6D,Active,29.15,Success
13,IAI,"Pad 1, Palmachim Airbase, Israel",Palmachim Airbase,Israel,"Mon Jul 06, 2020 01:00 UTC",Jul,6,2020,Mon,Shavit-2 | Ofek-16,Active,,Success
14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Jiuquan Satellite Launch Center,China,"Sat Jul 04, 2020 23:44 UTC",Jul,4,2020,Sat,Long March 2D | Shiyan-6 02,Active,29.75,Success
15,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",M?hia Peninsula,New Zealand,"Sat Jul 04, 2020 21:19 UTC",Jul,4,2020,Sat,Electron/Curie | Pics Or It Didn??¦t Happen,Active,7.5,Failure
16,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Taiyuan Satellite Launch Center,China,"Fri Jul 03, 2020 03:10 UTC",Jul,3,2020,Fri,Long March 4B | Gaofen Duomo & BY-02,Active,64.68,Success
17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Florida,USA,"Tue Jun 30, 2020 20:10 UTC",Jun,30,2020,Tue,Falcon 9 Block 5 | GPS III SV03,Active,50,Success
18,CASC,"LC-2, Xichang Satellite Launch Center, China",Xichang Satellite Launch Center,China,"Tue Jun 23, 2020 01:43 UTC",Jun,23,2020,Tue,Long March 3B/E | Beidou-3 G3,Active,29.15,Success
19,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Jiuquan Satellite Launch Center,China,"Wed Jun 17, 2020 07:19 UTC",Jun,17,2020,Wed,"Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",Active,29.75,Success
20,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Florida,USA,"Sat Jun 13, 2020 09:21 UTC",Jun,13,2020,Sat,Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18,Active,50,Success
